review_id,date,rating,category,product_name,review_text,verified_purchase
1,2024-01-05,5,Fashion,Classic Cotton T-Shirt,"Absolutely love this shirt! The quality is amazing and it fits perfectly. True to size and the fabric is so soft. Will definitely buy more colors!",Yes
2,2024-01-06,1,Fashion,Classic Cotton T-Shirt,"Very disappointed. The shirt arrived with a hole in it and the color looks nothing like the picture. Requested a refund immediately.",Yes
3,2024-01-07,4,Fashion,Classic Cotton T-Shirt,"Good quality shirt, but runs a bit small. I'd recommend ordering one size up. The material is nice and soft though.",Yes
4,2024-01-08,5,Electronics,Wireless Bluetooth Earbuds,"Best earbuds I've ever owned! The sound quality is incredible and battery life lasts all day. Pairing was super easy too.",Yes
5,2024-01-09,2,Electronics,Wireless Bluetooth Earbuds,"Sound quality is okay but one earbud stopped working after just 2 weeks. Customer service was unhelpful when I tried to get a replacement.",Yes
6,2024-01-10,3,Electronics,Wireless Bluetooth Earbuds,"Decent earbuds for the price. Connection drops occasionally but overall they work fine. Nothing special but not terrible either.",Yes
7,2024-01-11,5,Beauty,Hydrating Face Serum,"This serum is a game changer! My skin has never looked better. No irritation and it absorbs quickly. Highly recommend for dry skin.",Yes
8,2024-01-12,1,Beauty,Hydrating Face Serum,"Caused terrible breakouts on my sensitive skin. Had to stop using after 3 days. Very disappointing for the price.",Yes
9,2024-01-13,4,Beauty,Hydrating Face Serum,"Good serum, nice texture and pleasant scent. Haven't seen dramatic results yet but my skin feels more hydrated.",Yes
10,2024-01-14,5,Home,Stainless Steel Water Bottle,"Perfect water bottle! Keeps drinks cold for 24 hours. No leaks and the design is sleek. Worth every penny.",Yes
11,2024-01-15,2,Home,Stainless Steel Water Bottle,"Arrived dented and scratched. The packaging was terrible - just thrown in a box with no protection. Disappointed.",Yes
12,2024-01-16,4,Home,Stainless Steel Water Bottle,"Great bottle, keeps water cold all day. A bit heavy but that's expected for insulated bottles. Good value.",Yes
13,2024-01-17,1,Fashion,Slim Fit Jeans,"Worst jeans ever! Size chart is completely wrong. These run at least 2 sizes smaller than advertised. False advertising!",Yes
14,2024-01-18,5,Fashion,Slim Fit Jeans,"Love these jeans! Perfect fit and great quality denim. The stretch is just right and they look expensive.",Yes
15,2024-01-19,3,Fashion,Slim Fit Jeans,"Okay jeans, nothing special. Quality is decent but shipping took forever - almost 3 weeks to arrive.",Yes
16,2024-01-20,5,Electronics,Smart Watch Pro,"Amazing smartwatch! The display is gorgeous and all features work perfectly. Battery lasts 4 days. Best purchase this year.",Yes
17,2024-01-21,2,Electronics,Smart Watch Pro,"Screen cracked within a month of normal use. For this price, I expected better durability. Returning for refund.",Yes
18,2024-01-22,4,Electronics,Smart Watch Pro,"Great smartwatch overall. Setup was a bit confusing at first but once configured, it works beautifully. Good value.",Yes
19,2024-01-23,5,Beauty,Vitamin C Brightening Cream,"This cream is fantastic! My dark spots have faded significantly after just 4 weeks. Will repurchase for sure.",Yes
20,2024-01-24,2,Beauty,Vitamin C Brightening Cream,"Strong chemical smell and caused redness. Product quality doesn't match the premium price at all.",Yes
21,2024-01-25,4,Beauty,Vitamin C Brightening Cream,"Good cream, absorbs well and doesn't feel greasy. Subtle improvement in skin brightness. Would recommend.",Yes
22,2024-01-26,1,Home,Memory Foam Pillow,"Terrible quality! Lost its shape after one week and smells strongly of chemicals. Complete waste of money.",Yes
23,2024-01-27,5,Home,Memory Foam Pillow,"Best pillow ever! Finally sleeping through the night. Perfect firmness and no neck pain anymore.",Yes
24,2024-01-28,3,Home,Memory Foam Pillow,"Average pillow. A bit too firm for my liking but shipping was fast. May need time to break in.",Yes
25,2024-02-01,4,Fashion,Running Shoes Elite,"Comfortable shoes for running! Good cushioning and breathable material. Only complaint is the sizing runs slightly large.",Yes
26,2024-02-02,5,Fashion,Running Shoes Elite,"Perfect running shoes! Light as a feather and super comfortable. My new go-to for marathon training.",Yes
27,2024-02-03,2,Fashion,Running Shoes Elite,"Sole started coming apart after just 2 months. Expected better durability from a premium brand. Customer support was slow.",Yes
28,2024-02-04,5,Electronics,Portable Charger 20000mAh,"Lifesaver! Charges my phone 5 times over. Fast charging works great. Compact design fits in my pocket.",Yes
29,2024-02-05,3,Electronics,Portable Charger 20000mAh,"Works as expected but heavier than advertised. Charges devices well but not great for travel due to weight.",Yes
30,2024-02-06,1,Electronics,Portable Charger 20000mAh,"Stopped working after 1 month. Tried contacting customer service but no response. Avoid this product!",Yes
31,2024-02-07,5,Beauty,Anti-Aging Eye Cream,"Miracle cream! Reduced my fine lines visibly in 3 weeks. Gentle formula, no irritation. Worth the investment.",Yes
32,2024-02-08,2,Beauty,Anti-Aging Eye Cream,"Caused puffy eyes and irritation. Had to discontinue use. Not suitable for sensitive skin despite claims.",Yes
33,2024-02-09,4,Beauty,Anti-Aging Eye Cream,"Nice eye cream, absorbs quickly without being greasy. Haven't seen dramatic results but feels luxurious.",Yes
